YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,BENE_LE_7_SRVC_DAYS_PCT,BENE_LE_30_SRVC_DAYS_PCT,BENE_GE_60_SRVC_DAYS_PCT,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,TOT_OUTLIER_PYMT_AMT,BENE_MA_PCT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_AVG_CC_CNT,BENE_CC_AF_PCT,BENE_CC_ALZHMR_PCT,BENE_CC_ASTHMA_PCT,BENE_CC_CNCR_PCT,BENE_CC_CHF_PCT,BENE_CC_CKD_PCT,BENE_CC_COPD_PCT,BENE_CC_DPRSSN_PCT,BENE_CC_DBTS_PCT,BENE_CC_HYPLPDMA_PCT,BENE_CC_HYPRTNSN_PCT,BENE_CC_IHD_PCT,BENE_CC_OPO_PCT,BENE_CC_RAOA_PCT,BENE_CC_SZ_PCT,BENE_CC_STROK_PCT,BENE_PRMRY_DX_CNCR_PCT,BENE_PRMRY_DX_COPD_PCT,BENE_PRMRY_DX_RSPRTRYFAILR_PCT,BENE_PRMRY_DX_DMNT_PCT,BENE_PRMRY_DX_STROK_PCT,BENE_PRMRY_DX_CHF_PCT,BENE_PRMRY_DX_HYPRTNSN_PCT,BENE_PRMRY_DX_OTHRCRDVSCLR_PCT,BENE_PRMRY_DX_INFCTN_PCT,BENE_PRMRY_DX_ORTHO_PCT,BENE_PRMRY_DX_INJURY_PCT,BENE_PRMRY_DX_MTR_NRL_PCT,BENE_PRMRY_DX_DBTS_PCT,BENE_PRMRY_DX_SKN_PCT,BENE_PRMRY_DX_AFTRCRE_PCT,DSCHRG_CMNTY_SLFCR_PCT,DSCHRG_IP_PCT,DSCHRG_HH_PCT,DSCHRG_SNF_PCT,DSCHRG_IRF_PCT,DSCHRG_HOSPC_PCT,DSCHRG_DEATH_PCT
2020,FY,NATION,LTC,NATION,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,73480,81327,2095772,0.10,0.64,0.06,18200487633,3662782751,3390158008,3429779025,393269511,0.01,0.38,0.21,71.00,0.53,0.46,0.65,0.19,0.02,0.09,0.01,0.01,4.42,8,0.35,0.48,0.14,0.15,0.71,0.88,0.55,0.58,0.65,0.88,0.88,0.71,0.12,0.56,0.13,0.26,0.01,0.00,0.41,0.00,0.01,0.00,0.01,0.02,0.13,0.04,0.10,0.01,0.03,0.03,0.02,0.07,0.10,0.14,0.31,0.08,0.03,0.15
2020,FY,STATE,LTC,STATE,STATE TOTAL,STATE TOTAL,AK,STATE TOTAL,91,96,4896,0.00,0.37,0.35,27069125,8941912,7895922,5668296,4609681,0.00,0.38,0.38,69.00,0.52,0.47,0.72,0.00,0.00,0.00,0.00,0.00,4.45,6,0.23,0.26,0.00,0.16,0.52,0.88,0.45,0.56,0.58,0.69,0.88,0.60,0.00,0.52,0.00,0.17,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.15,0.00,0.00,0.00,0.00,0.21,0.00,0.22,0.13,0.11,0.00,0.11
2020,FY,STATE,LTC,STATE,STATE TOTAL,STATE TOTAL,AL,STATE TOTAL,1221,1281,32032,0.08,0.67,0.04,150738665,49082655,45881853,54463094,2583603,0.02,0.25,0.27,70.00,0.51,0.48,0.72,0.25,0.00,0.00,0.00,0.00,4.06,7,0.36,0.42,0.14,0.16,0.69,0.88,0.57,0.56,0.67,0.88,0.88,0.68,0.10,0.61,0.10,0.23,0.00,0.00,0.40,0.00,0.01,0.00,0.00,0.02,0.18,0.04,0.11,0.00,0.04,0.04,0.01,0.04,0.09,0.16,0.27,0.14,0.05,0.19
2020,FY,STATE,LTC,STATE,STATE TOTAL,STATE TOTAL,AR,STATE TOTAL,1131,1206,29453,0.12,0.69,0.05,186702588,48371791,45807383,52966858,3196429,0.00,0.30,0.45,69.00,0.54,0.45,0.81,0.12,0.00,0.01,0.02,0.00,3.73,7,0.34,0.37,0.12,0.15,0.70,0.88,0.54,0.51,0.59,0.69,0.88,0.69,0.11,0.58,0.08,0.22,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.02,0.14,0.03,0.12,0.00,0.03,0.02,0.01,0.10,0.11,0.14,0.20,0.15,0.06,0.18
2020,FY,STATE,LTC,STATE,STATE TOTAL,STATE TOTAL,AZ,STATE TOTAL,706,746,19598,0.08,0.66,0.04,149672702,38161838,36263051,37382885,2324109,0.00,0.26,0.20,70.00,0.59,0.40,0.70,0.05,0.01,0.09,0.10,0.02,3.94,7,0.40,0.34,0.18,0.14,0.63,0.88,0.54,0.51,0.63,0.88,0.88,0.68,0.10,0.46,0.09,0.23,0.00,0.00,0.61,0.00,0.00,0.00,0.01,0.00,0.06,0.02,0.10,0.00,0.03,0.01,0.02,0.05,0.10,0.09,0.42,0.08,0.03,0.14
2020,FY,STATE,LTC,STATE,STATE TOTAL,STATE TOTAL,CA,STATE TOTAL,6403,7179,210443,0.08,0.59,0.11,2327100213,449817427,414959285,324410603,54452448,0.00,0.68,0.05,72.00,0.55,0.44,0.45,0.12,0.14,0.25,0.00,0.02,5.05,8,0.34,0.57,0.17,0.14,0.88,0.88,0.62,0.58,0.74,0.88,0.88,0.88,0.15,0.54,0.26,0.32,0.00,0.02,0.39,0.00,0.01,0.00,0.02,0.01,0.25,0.01,0.06,0.00,0.01,0.01,0.01,0.04,0.08,0.10,0.43,0.02,0.02,0.19
2020,FY,STATE,LTC,STATE,STATE TOTAL,STATE TOTAL,CO,STATE TOTAL,370,396,13910,0.07,0.50,0.15,129714619,24256179,21590824,20888493,5559141,0.00,0.39,0.28,66.00,0.59,0.40,0.75,0.05,0.00,0.12,0.00,0.02,4.35,6,0.30,0.32,0.12,0.11,0.55,0.88,0.46,0.58,0.48,0.62,0.88,0.57,0.11,0.49,0.07,0.26,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.15,0.04,0.00,0.04,0.03,0.11,0.15,0.11,0.35,0.10,0.00,0.05
2020,FY,STATE,LTC,STATE,STATE TOTAL,STATE TOTAL,CT,STATE TOTAL,596,650,18603,0.04,0.61,0.07,71185505,26663024,23761642,20927789,2298682,0.00,0.21,0.04,71.00,0.55,0.44,0.79,0.09,0.00,0.05,0.00,0.03,3.23,7,0.35,0.37,0.17,0.15,0.61,0.73,0.44,0.56,0.51,0.88,0.88,0.64,0.13,0.50,0.08,0.36,0.00,0.00,0.30,0.00,0.22,0.02,0.00,0.02,0.02,0.02,0.14,0.02,0.00,0.00,0.13,0.06,0.16,0.35,0.30,0.00,0.00,0.02
2020,FY,STATE,LTC,STATE,STATE TOTAL,STATE TOTAL,DC,STATE TOTAL,628,696,16655,0.09,0.66,0.04,66394466,32637290,30329798,29506479,636891,0.00,0.46,0.00,71.00,0.51,0.48,0.25,0.64,0.03,0.04,0.00,0.02,4.62,8,0.31,0.59,0.16,0.16,0.74,0.88,0.46,0.51,0.74,0.75,0.88,0.69,0.07,0.44,0.09,0.37,0.00,0.00,0.54,0.00,0.00,0.00,0.03,0.02,0.20,0.03,0.02,0.01,0.00,0.00,0.00,0.09,0.07,0.00,0.52,0.00,0.00,0.20
2020,FY,STATE,LTC,STATE,STATE TOTAL,STATE TOTAL,DE,STATE TOTAL,165,171,5696,0.06,0.50,0.11,52151259,10916033,9577124,8493860,1134248,0.00,0.32,0.15,69.00,0.56,0.43,0.69,0.24,0.00,0.00,0.00,0.00,4.51,8,0.43,0.38,0.16,0.15,0.74,0.88,0.56,0.61,0.64,0.88,0.88,0.69,0.06,0.50,0.07,0.31,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.43,0.08,0.06,0.10
