YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,BENE_LE_7_SRVC_DAYS_PCT,BENE_LE_30_SRVC_DAYS_PCT,BENE_GE_60_SRVC_DAYS_PCT,BENE_GE_180_SRVC_DAYS_PCT,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_MA_PCT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_PRMRY_DX_CNCR_PCT,BENE_PRMRY_DX_COPD_PCT,BENE_PRMRY_DX_RSPRTRYFAILR_PCT,BENE_PRMRY_DX_DMNT_PCT,BENE_PRMRY_DX_STROK_PCT,BENE_PRMRY_DX_CHF_PCT,BENE_PRMRY_DX_HYPRTNSN_PCT,BENE_PRMRY_DX_OTHRCRDVSCLR_PCT,BENE_PRMRY_DX_INFCTN_PCT,BENE_PRMRY_DX_ORTHO_PCT,BENE_PRMRY_DX_INJURY_PCT,BENE_PRMRY_DX_MTR_NRL_PCT,BENE_PRMRY_DX_DBTS_PCT,NRSNG_VISITS_CNT,MSW_VISITS_CNT,AIDE_VISITS_CNT,PHYSN_VISITS_CNT,TOT_NRSNG_MNTS,TOT_MSW_MNTS,TOT_AIDE_MNTS,NRSNG_MNTS_AVG_7_DAY_PRIOR_DEATH,MSW_MNTS_AVG_7_DAY_PRIOR_DEATH,AIDE_MNTS_AVG_7_DAY_PRIOR_DEATH,SRVC_SITE_DAYS_HOME_PCT,SRVC_SITE_DAYS_ASTD_LVG_FAC_PCT,SRVC_SITE_DAYS_LTCF_PCT,SRVC_SITE_DAYS_SNF_PCT,SRVC_SITE_DAYS_IP_PCT,SRVC_SITE_DAYS_IP_HOSPC_PCT,DSCHRG_DEATH_PCT,DSCHRG_HOSPC_LV_PCT,HOSPC_RHC_DAYS_PCT
2020,FY,NATION,HOS,NATION,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,1681571,5563661,126857339,0.28,0.54,0.34,0.14,35346615324,22048348436,22048348436,22268396376,0.39,0.25,0.19,82,0.41,0.58,0.80,0.08,0.01,0.07,0.00,0.01,2.5799999237,0.25,0.06,0.02,0.19,0.10,0.08,0.04,0.06,0.01,0.00,0.00,0.05,0.00,32038259,5873112,32923160,531363,1960560000,269777970,2094725160,60,5,19,0.56,0.20,0.15,0.05,0.00,0.00,0.21,0.03,0.98
2020,FY,STATE,HOS,STATE,STATE TOTAL,STATE TOTAL,AK,STATE TOTAL,952,2367,47414,0.29,0.61,0.24,0.06,21999959,9410293,9410293,8257858,0.01,0.27,0.28,80,0.45,0.54,0.75,0.02,0.03,0.03,0.12,0.02,2.3199999332,0.35,0.04,0.00,0.18,0.11,0.05,0.05,0.04,0.00,0.00,0.00,0.03,0.00,11683,2058,4853,338,602835,81255,228885,37,3,7,0.81,0.15,0.01,0.01,0.00,0.00,0.31,0.03,0.99
2020,FY,STATE,HOS,STATE,STATE TOTAL,STATE TOTAL,AL,STATE TOTAL,35783,143968,3498495,0.23,0.46,0.42,0.21,772320818,503009680,503009680,583610500,0.42,0.17,0.28,80,0.42,0.57,0.80,0.18,0.00,0.00,0.00,0.00,2.3900001049,0.21,0.10,0.02,0.18,0.09,0.09,0.07,0.08,0.01,0.00,0.00,0.05,0.00,924886,139365,902961,5432,45048585,6206415,48549300,47,4,13,0.78,0.02,0.10,0.07,0.00,0.00,0.16,0.03,0.99
2020,FY,STATE,HOS,STATE,STATE TOTAL,STATE TOTAL,AR,STATE TOTAL,18449,58200,1303188,0.32,0.58,0.31,0.14,362072473,203438229,203438229,231374836,0.25,0.28,0.43,80,0.42,0.57,0.88,0.08,0.00,0.00,0.00,0.00,2.4900000095,0.25,0.09,0.03,0.20,0.08,0.08,0.03,0.06,0.02,0.00,0.00,0.04,0.00,347943,66437,377828,4254,14720640,2401380,18968085,36,4,14,0.59,0.06,0.22,0.07,0.00,0.01,0.23,0.03,0.98
2020,FY,STATE,HOS,STATE,STATE TOTAL,STATE TOTAL,AZ,STATE TOTAL,45411,161402,3769053,0.26,0.50,0.38,0.16,957155362,636888584,636888584,647304737,0.50,0.22,0.13,82,0.43,0.56,0.83,0.02,0.01,0.10,0.01,0.00,2.5399999619,0.22,0.08,0.01,0.21,0.08,0.09,0.02,0.10,0.01,0.00,0.00,0.05,0.00,899590,161974,783027,7494,46746735,7257225,44797005,40,5,13,0.51,0.38,0.03,0.02,0.00,0.00,0.19,0.03,0.98
2020,FY,STATE,HOS,STATE,STATE TOTAL,STATE TOTAL,CA,STATE TOTAL,167435,617579,14599811,0.22,0.48,0.40,0.17,4683279435,3124699337,3124699337,2465545221,0.50,0.28,0.06,83,0.41,0.58,0.66,0.05,0.08,0.17,0.00,0.01,2.5999999046,0.23,0.06,0.01,0.22,0.11,0.09,0.04,0.09,0.01,0.00,0.00,0.06,0.00,3678759,552615,3004518,74478,248317260,27615540,192699375,78,5,15,0.66,0.23,0.04,0.04,0.00,0.00,0.17,0.04,0.99
2020,FY,STATE,HOS,STATE,STATE TOTAL,STATE TOTAL,CO,STATE TOTAL,23818,78692,1792676,0.26,0.52,0.35,0.13,543640016,313971962,313971962,314334751,0.49,0.19,0.12,82,0.42,0.57,0.86,0.02,0.01,0.08,0.00,0.01,2.4400000572,0.24,0.07,0.03,0.17,0.11,0.08,0.04,0.05,0.01,0.00,0.00,0.05,0.00,426582,109693,522013,3995,23411925,4222170,27816540,44,5,17,0.49,0.26,0.15,0.06,0.00,0.01,0.22,0.03,0.98
2020,FY,STATE,HOS,STATE,STATE TOTAL,STATE TOTAL,CT,STATE TOTAL,17068,45943,956384,0.36,0.62,0.26,0.09,293500148,195477351,195477351,176448052,0.39,0.30,0.04,84,0.40,0.59,0.87,0.05,0.00,0.04,0.00,0.01,2.6400001049,0.25,0.04,0.03,0.19,0.13,0.06,0.05,0.02,0.02,0.00,0.00,0.04,0.00,267727,45029,247101,1656,16668690,2223645,19464195,60,5,18,0.48,0.15,0.19,0.14,0.01,0.00,0.29,0.02,0.97
2020,FY,STATE,HOS,STATE,STATE TOTAL,STATE TOTAL,DC,STATE TOTAL,1305,4401,99834,0.26,0.52,0.36,0.14,22843127,17967133,17967133,17573916,0.19,0.32,0.00,84,0.37,0.62,0.36,0.58,0.01,0.02,0.00,0.01,2.6600000858,0.32,0.04,0.01,0.20,0.14,0.07,0.02,0.03,0.01,0.00,0.00,0.05,0.00,18437,3146,17237,632,1312020,135570,1066035,38,3,13,0.72,0.13,0.12,0.00,0.00,0.01,0.20,0.05,0.98
2020,FY,STATE,HOS,STATE,STATE TOTAL,STATE TOTAL,DE,STATE TOTAL,6426,21348,488514,0.27,0.53,0.35,0.14,142488200,93399562,93399562,89974910,0.19,0.19,0.22,81,0.43,0.56,0.81,0.14,0.00,0.01,0.00,0.00,2.5999999046,0.26,0.06,0.02,0.12,0.17,0.12,0.02,0.05,0.01,0.00,0.00,0.04,0.00,105500,20740,147858,4716,7178835,1127040,9135840,67,5,18,0.68,0.11,0.13,0.03,0.01,0.00,0.21,0.03,0.97
