YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,BENE_LE_7_SRVC_DAYS_PCT,BENE_LE_30_SRVC_DAYS_PCT,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,TOT_OUTLIER_PYMT_AMT,BENE_MA_PCT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_AVG_CC_CNT,BENE_CC_AF_PCT,BENE_CC_ALZHMR_PCT,BENE_CC_ASTHMA_PCT,BENE_CC_CNCR_PCT,BENE_CC_CHF_PCT,BENE_CC_CKD_PCT,BENE_CC_COPD_PCT,BENE_CC_DPRSSN_PCT,BENE_CC_DBTS_PCT,BENE_CC_HYPLPDMA_PCT,BENE_CC_HYPRTNSN_PCT,BENE_CC_IHD_PCT,BENE_CC_OPO_PCT,BENE_CC_RAOA_PCT,BENE_CC_SZ_PCT,BENE_CC_STROK_PCT,BENE_PRMRY_DX_CNCR_PCT,BENE_PRMRY_DX_COPD_PCT,BENE_PRMRY_DX_RSPRTRYFAILR_PCT,BENE_PRMRY_DX_DMNT_PCT,BENE_PRMRY_DX_STROK_PCT,BENE_PRMRY_DX_CHF_PCT,BENE_PRMRY_DX_HYPRTNSN_PCT,BENE_PRMRY_DX_OTHRCRDVSCLR_PCT,BENE_PRMRY_DX_INFCTN_PCT,BENE_PRMRY_DX_ORTHO_PCT,BENE_PRMRY_DX_INJURY_PCT,BENE_PRMRY_DX_MTR_NRL_PCT,BENE_PRMRY_DX_DBTS_PCT,BENE_PRMRY_DX_SKN_PCT,BENE_PRMRY_DX_AFTRCRE_PCT,TOT_PT_MNTS,INDVDL_PT_MNTS,CNCRNT_GRP_PT_MNTS,COTRT_PT_MNTS,TOT_OT_MNTS,INDVDL_OT_MNTS,CNCRNT_GRP_OT_MNTS,COTRT_OT_MNTS,TOT_SLP_MNTS,INDVDL_SLP_MNTS,CNCRNT_GRP_SLP_MNTS,COTRT_SLP_MNTS,DSCHRG_CMNTY_SLFCR_PCT,DSCHRG_IP_PCT,DSCHRG_HH_PCT,DSCHRG_SNF_PCT,DSCHRG_HOSPC_PCT,DSCHRG_DEATH_PCT,CMG_STROK_DAYS_PCT,CMG_INJURY_TRMA_DAYS_PCT,CMG_ORTHO_DAYS_PCT,CMG_ARTHRTS_DAYS_PCT,CMG_CRDVSCLR_PLMNRY_DAYS_PCT,CMG_NRLGCL_DAYS_PCT,CMG_OTHR_DAYS_PCT
2020,FY,NATION,IRF,NATION,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,330652,373395,4782503,0.13,0.92,19108088115,8433646118,8292934346,8123686627,252582700,0.00,0.15,0.19,76,0.46,0.53,0.80,0.10,0.01,0.05,0.00,0.01,2.69,7,0.30,0.39,0.12,0.17,0.49,0.68,0.34,0.54,0.50,0.88,0.88,0.63,0.20,0.67,0.05,0.34,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.01,0.01,0.04,0.23,0.18,0.00,0.00,0.17,227570779,195283999,30692631,1594149,223771229,195056287,27270367,1444575,55929073,52458077,3249839,221157,0.17,0.09,0.54,0.12,0.00,0.00,0.22,0.19,0.20,0.00,0.06,0.13,0.16
2020,FY,STATE,IRF,STATE,STATE TOTAL,STATE TOTAL,AK,STATE TOTAL,138,140,2091,0.15,0.92,16119261,4887801,4814343,3980862,743119,0.00,0.25,0.38,73,0.57,0.42,0.71,0.00,0.00,0.00,0.17,0.00,2.34,6,0.25,0.28,0.07,0.17,0.36,0.60,0.33,0.36,0.50,0.70,0.88,0.52,0.17,0.59,0.00,0.50,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.15,44138,43928,210,0,43222,43222,0,0,11016,10971,45,0,0.41,0.00,0.47,0.00,0.00,0.00,0.51,0.15,0.12,0.00,0.05,0.01,0.13
2020,FY,STATE,IRF,STATE,STATE TOTAL,STATE TOTAL,AL,STATE TOTAL,8077,9141,113311,0.12,0.93,303770881,169841373,166359761,197317586,2225284,0.00,0.09,0.21,75,0.45,0.54,0.76,0.21,0.00,0.00,0.00,0.00,2.83,7,0.30,0.41,0.12,0.16,0.54,0.73,0.37,0.52,0.55,0.88,0.88,0.65,0.16,0.71,0.05,0.31,0.00,0.01,0.00,0.00,0.16,0.00,0.01,0.02,0.00,0.04,0.23,0.22,0.00,0.00,0.16,5913951,4169059,1726052,18840,5943443,4351962,1574511,16970,1195611,1084388,109802,1421,0.10,0.10,0.61,0.08,0.01,0.00,0.18,0.20,0.19,0.00,0.08,0.14,0.18
2020,FY,STATE,IRF,STATE,STATE TOTAL,STATE TOTAL,AR,STATE TOTAL,9165,10548,126604,0.13,0.93,374476664,196089904,191454480,212443130,1108606,0.00,0.14,0.39,77,0.41,0.58,0.89,0.07,0.00,0.01,0.01,0.00,2.48,7,0.31,0.41,0.11,0.17,0.52,0.68,0.39,0.53,0.46,0.88,0.88,0.67,0.21,0.70,0.05,0.27,0.00,0.01,0.00,0.00,0.15,0.00,0.01,0.02,0.01,0.05,0.23,0.26,0.00,0.00,0.12,6908689,5368290,1510647,29752,6792493,5345526,1425174,21793,1614380,1331573,280336,2471,0.16,0.09,0.55,0.11,0.00,0.00,0.16,0.17,0.23,0.00,0.05,0.19,0.17
2020,FY,STATE,IRF,STATE,STATE TOTAL,STATE TOTAL,AZ,STATE TOTAL,8044,8961,111423,0.13,0.93,375704035,188593041,185470841,183593542,2699641,0.00,0.09,0.15,76,0.49,0.50,0.84,0.02,0.00,0.07,0.03,0.01,2.45,6,0.30,0.33,0.13,0.17,0.41,0.65,0.30,0.49,0.44,0.88,0.88,0.59,0.23,0.64,0.03,0.34,0.01,0.00,0.00,0.00,0.19,0.00,0.00,0.01,0.01,0.06,0.30,0.16,0.00,0.00,0.12,4324564,3728371,571363,24830,4008219,3518280,473227,16712,1125936,981140,142415,2381,0.25,0.09,0.50,0.09,0.01,0.00,0.21,0.21,0.24,0.00,0.04,0.12,0.14
2020,FY,STATE,IRF,STATE,STATE TOTAL,STATE TOTAL,CA,STATE TOTAL,18471,20261,262735,0.12,0.93,1935913251,651325513,646180692,473942832,40677756,0.00,0.32,0.08,76,0.46,0.53,0.65,0.07,0.09,0.14,0.00,0.02,2.69,7,0.28,0.36,0.15,0.17,0.49,0.65,0.30,0.50,0.51,0.88,0.88,0.61,0.24,0.67,0.06,0.37,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.01,0.01,0.04,0.25,0.13,0.00,0.00,0.18,10963643,10359375,456028,148240,10228052,9753268,339831,134953,3148496,2970084,156235,22177,0.16,0.09,0.58,0.10,0.00,0.00,0.24,0.23,0.23,0.00,0.05,0.09,0.12
2020,FY,STATE,IRF,STATE,STATE TOTAL,STATE TOTAL,CO,STATE TOTAL,3942,4341,53687,0.15,0.93,252866925,96195725,94726123,89970258,2236506,0.02,0.15,0.21,74,0.49,0.50,0.85,0.03,0.01,0.07,0.00,0.02,2.30,6,0.25,0.31,0.12,0.15,0.37,0.58,0.28,0.50,0.36,0.72,0.88,0.50,0.22,0.64,0.03,0.31,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.04,0.27,0.12,0.00,0.00,0.22,2419466,2233203,171038,15225,2401493,2227650,159363,14480,782739,751238,30888,613,0.18,0.08,0.54,0.13,0.00,0.00,0.23,0.21,0.26,0.00,0.03,0.10,0.15
2020,FY,STATE,IRF,STATE,STATE TOTAL,STATE TOTAL,CT,STATE TOTAL,1195,1284,16786,0.10,0.93,88079267,32893337,32628424,28329528,1234454,0.00,0.12,0.02,77,0.52,0.47,0.82,0.08,0.01,0.04,0.00,0.03,2.37,6,0.31,0.35,0.12,0.19,0.41,0.59,0.24,0.52,0.41,0.88,0.88,0.56,0.18,0.63,0.04,0.45,0.01,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.05,0.23,0.10,0.00,0.00,0.13,696831,666621,7390,22820,651653,619298,8300,24055,234115,231135,640,2340,0.06,0.09,0.61,0.20,0.00,0.00,0.34,0.21,0.18,0.00,0.03,0.07,0.15
2020,FY,STATE,IRF,STATE,STATE TOTAL,STATE TOTAL,DC,STATE TOTAL,855,914,12976,0.10,0.91,56154458,23890615,23370854,20597515,801179,0.00,0.24,0.01,72,0.50,0.49,0.34,0.58,0.01,0.03,0.00,0.02,2.67,7,0.21,0.44,0.13,0.19,0.41,0.69,0.22,0.52,0.57,0.88,0.88,0.60,0.09,0.58,0.04,0.44,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.01,0.11,0.11,0.00,0.00,0.30,463967,463172,0,795,501085,470133,30237,715,141897,123422,18335,140,0.52,0.09,0.14,0.21,0.00,0.00,0.33,0.22,0.13,0.00,0.10,0.02,0.17
2020,FY,STATE,IRF,STATE,STATE TOTAL,STATE TOTAL,DE,STATE TOTAL,2534,2841,32411,0.14,0.94,94497578,61468937,60251116,57260845,244681,0.00,0.10,0.26,76,0.46,0.53,0.80,0.15,0.00,0.01,0.00,0.01,2.54,7,0.30,0.33,0.11,0.17,0.41,0.65,0.34,0.56,0.52,0.88,0.88,0.60,0.16,0.67,0.04,0.36,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.03,0.19,0.39,0.00,0.00,0.12,1573406,1424106,125100,24200,1552725,1401724,129299,21702,264101,259332,2385,2384,0.13,0.05,0.63,0.10,0.01,0.00,0.20,0.17,0.26,0.00,0.06,0.16,0.11
