State,State_Abbr,Pop_1990,Pop_2000,Pop_2010,Pop_2020,Pop_2021
United States,US,248790925,281424600,308745538,331449281,331893745
California,CA,29811427,33871653,37253956,39538223,39237836
Texas,TX,16986335,20851028,25145561,29145505,29527941
Florida,FL,12938071,15982571,18801310,21538187,21781128
New York,NY,17990778,18977026,19378102,20201249,19835913
Pennsylvania,PA,11882842,12280548,12702379,13002700,12964056
Illinois,IL,11430602,12419927,12830632,12812508,12671469
Ohio,OH,10847115,11353336,11536504,11799448,11780017
Georgia,GA,6478149,8186653,9687653,10711908,10799566
North Carolina,NC,6632448,8046346,9535483,10439388,10551162
Michigan,MI,9295287,9938823,9883640,10077331,10050811
New Jersey,NJ,7747750,8414764,8791894,9288994,9267130
Virginia,VA,6189197,7079057,8001024,8631393,8642274
Washington,WA,4866669,5894281,6724540,7705281,7738692
Arizona,AZ,3665339,5130247,6392017,7151502,7276316
Massachusetts,MA,6016425,6349364,6547629,7029917,6984723
Tennessee,TN,4877203,5689427,6346105,6910840,6975218
Indiana,IN,5544156,6080827,6483802,6785528,6805985
Missouri,MO,5116901,5596564,5988927,6154913,6168187
Maryland,MD,4780753,5296647,5773552,6177224,6165129
Wisconsin,WI,4891954,5363757,5686986,5893718,5895908
Colorado,CO,3294473,4302086,5029196,5773714,5812069
Minnesota,MN,4375665,4919631,5303925,5706494,5707390
South Carolina,SC,3486310,4012023,4625364,5118425,5190705
Alabama,AL,4040389,4447207,4779736,5024279,5039877
Louisiana,LA,4221826,4469035,4533372,4657757,4624047
Kentucky,KY,3686892,4042193,4339367,4505836,4509394
Oregon,OR,2842337,3421524,3831074,4237256,4246155
Oklahoma,OK,3145576,3450451,3751351,3959353,3986639
Connecticut,CT,3287116,3405650,3574097,3605944,3605597
Utah,UT,1722850,2233183,2763885,3271616,3337975
Puerto Rico,PR,3522037,3808605,3725789,3285874,3263584
Iowa,IA,2776831,2926538,3046355,3190369,3193079
Nevada,NV,1201675,1998250,2700551,3104614,3143991
Arkansas,AR,2350624,2673293,2915918,3011524,3025891
Mississippi,MS,2575475,2844754,2967297,2961279,2949965
Kansas,KS,2477588,2688925,2853118,2937880,2934582
New Mexico,NM,1515069,1819017,2059179,2117522,2115877
Nebraska,NE,1578417,1711230,1826341,1961504,1963692
Idaho,ID,1006734,1293957,1567582,1839106,1900923
West Virginia,WV,1793477,1808193,1852994,1793716,1782959
Hawaii,HI,1108229,1211497,1360301,1455271,1441553
New Hampshire,NH,1109252,1235807,1316470,1377529,1388992
Maine,ME,1227928,1274779,1328361,1362359,1372247
Montana,MT,799065,902200,989415,1084225,1104271
Rhode Island,RI,1003464,1048259,1052567,1097379,1095610
Delaware,DE,666168,783559,897934,989948,1003384
South Dakota,SD,696004,754858,814180,886667,895376
North Dakota,ND,638800,642237,672591,779094,774948
Alaska,AK,550043,626933,710231,733391,732673
District of Columbia,DC,606900,572086,601723,689545,670050
Vermont,VT,562758,608613,625741,643077,645570
Wyoming,WY,453589,493786,563626,576851,578803
